
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:55255  [2404:6800:4003:c03::451]:443  ESTABLISHED     34136
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:56204  [2603:1040:5:3::1d]:443  ESTABLISHED     39632
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:56294  [2404:6800:4003:c00::451]:443  ESTABLISHED     34136
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:56447  [2603:1040:a06:6::1]:443  ESTABLISHED     6100
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:56495  [2404:6800:4003:c03::451]:443  ESTABLISHED     34136
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:57683  [2600:140f:800::173a:5f63]:443  CLOSE_WAIT      22600
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:57688  [2600:140f:6600::17d7:3c11]:443  CLOSE_WAIT      22600
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:57689  [2600:140f:6600::17d3:8972]:443  CLOSE_WAIT      22600
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:57690  [2600:140f:6600::17d3:8972]:443  CLOSE_WAIT      22600
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:58338  [2404:6800:4003:c00::451]:443  ESTABLISHED     34136
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:58818  [2404:6800:4003:c03::451]:443  ESTABLISHED     34136
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:59114  [2404:6800:4003:c00::451]:443  ESTABLISHED     34136
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:59567  [2404:6800:4003:c00::451]:443  ESTABLISHED     34136
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:59568  [2404:6800:4003:c00::451]:443  ESTABLISHED     34136
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:59581  [2606:4700:91b1:d8b7:9a1b:840:ccf5:ac50]:443  ESTABLISHED     27200
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:59713  [2603:1040:a06:3::13]:443  ESTABLISHED     8524
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:59791  [2404:6800:4003:c00::451]:443  ESTABLISHED     34136
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:60762  [2404:6800:4003:c03::451]:443  ESTABLISHED     34136
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:60895  [2603:1063:27:1::14]:443  ESTABLISHED     5944
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:61902  [2404:6800:4003:c00::451]:443  ESTABLISHED     34136
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:62430  [2404:6800:4003:c03::451]:443  ESTABLISHED     34136
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:62719  [2404:6800:4003:c03::451]:443  ESTABLISHED     34136
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:64348  [2404:6800:4003:c00::451]:443  ESTABLISHED     34136
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:64349  [2404:6800:4003:c00::451]:443  ESTABLISHED     34136
  TCP    [2401:4900:74e9:34c1:1c41:b5c4:712b:f097]:64350  [2404:6800:4003:c00::451]:443  ESTABLISHED     34136
